MainHotel,Hotel_Name
855,Holiday Inn Singapore (Not Specified)
856,Parkroyal (Not Specified)
857,Furama Singapore (Not Specified)
858,Aqueen (Not Specified)
859,Econ Inn (Not Specified)
860,Swissotel (Not Specified)
861,Park Avenue (Not Specified)
862,Carlton City Hotel Singapore
863,Pan Pacific Serviced Suites Beach Road
864,5footway.inn Project Chinatown 2
865,5footway.inn Project Boat Quay
866,5footway.inn Project Bugis
867,5footway.inn Project Chinatown 3
868,5footway.inn Project Chinatown 4
869,85 Beach Garden Hotel
870,Amoy Hotel
872,Village Hotel Katong
873,The Westin Singapore
874,One15 Marina Club
875,Marrison @ Desker
876,Hotel Clover 5 Hongkong Street
877,Dragon Court Hotel
878,Bunc@Radius Hostel on Clarke Quay
881,Gallop Wagons
882,5footway.inn Project (Not Specified)
883,V Hotel (Not Specified)
884,Arton Hotel
885,J8 Hotel
886,Moon 23 Hotel
887,Sandpiper Hotel
888,AQUEEN - Jalan Besar Hotel
889,Champion Hotel
890,Holiday Inn Express Singapore Clarke Quay
891,Hotel 34
892,Hotel Clover The Arts
893,Hotel Clover 33 Jalan Sultan
894,Hotel Kai
895,The Southbridge Hotel
896,Parc Sovereign Hotel - Tyrwhitt
897,Sofitel So Singapore
898,Adonis Hotel
899,Hotel Jen Orchardgateway Singapore
900,Hotel Jen Tanglin Singapore
901,Hotel Nuve
902,One Farrer Hotel & Spa
903,Venue Hotel The Lily
904,The Daulat
905,5footway.inn Project Ann Siang
906,Hotel Clover 769 North Bridge Road
907,Raintr33 Hotel Singapore
908,5footway.inn Project Chinatown 1
909,Aqueen Hotel - Paya Lebar
991,Not stated
992,Resp doesn't know
993,Not applicable
994,Refused
999,dummy
2001,Genting Hotel Jurong
2002,The South Beach
2003,Four Points by Sheraton Singapore
2004,"Le Meridien Singapore, Sentosa"
9996,"Others, please specify"
9999,I don't know
